city,region,country
Татарск,Новосибирская область,Россия
Тогучин,Новосибирская область,Россия
Черепаново,Новосибирская область,Россия
Чулым,Новосибирская область,Россия
Исилькуль,Омская область,Россия
Калачинск,Омская область,Россия
Называевск,Омская область,Россия
Омск,Омская область,Россия
Тара,Омская область,Россия
Тюкалинск,Омская область,Россия
Абдулино,Оренбургская область,Россия
Бугуруслан,Оренбургская область,Россия
Бузулук,Оренбургская область,Россия
Гай,Оренбургская область,Россия
Кувандык,Оренбургская область,Россия
Медногорск,Оренбургская область,Россия
Новотроицк,Оренбургская область,Россия
Оренбург,Оренбургская область,Россия
Орск,Оренбургская область,Россия
Соль-Илецк,Оренбургская область,Россия
Сорочинск,Оренбургская область,Россия
Ясный,Оренбургская область,Россия
Болхов,Орловская область,Россия
Дмитровск,Орловская область,Россия
Ливны,Орловская область,Россия
Малоархангельск,Орловская область,Россия
Мценск,Орловская область,Россия
Новосиль,Орловская область,Россия
Орел,Орловская область,Россия
Белинский,Пензенская область,Россия
Городище,Пензенская область,Россия
Заречный,Пензенская область,Россия
Каменка,Пензенская область,Россия
Кузнецк,Пензенская область,Россия
Нижний Ломов,Пензенская область,Россия
Никольск,Пензенская область,Россия
Пенза,Пензенская область,Россия
Сердобск,Пензенская область,Россия
Спасск,Пензенская область,Россия
Сурск,Пензенская область,Россия
Александровск,Пермский край,Россия
Березники,Пермский край,Россия
Верещагино,Пермский край,Россия
Горнозаводск,Пермский край,Россия
Гремячинск,Пермский край,Россия
Губаха,Пермский край,Россия
Добрянка,Пермский край,Россия
Кизел,Пермский край,Россия
Красновишерск,Пермский край,Россия
Краснокамск,Пермский край,Россия
Кудымкар,Пермский край,Россия
Кунгур,Пермский край,Россия
Лысьва,Пермский край,Россия
Нытва,Пермский край,Россия
Оса,Пермский край,Россия
Оханск,Пермский край,Россия
Очер,Пермский край,Россия
Пермь,Пермский край,Россия
Соликамск,Пермский край,Россия
Усолье,Пермский край,Россия
Чайковский,Пермский край,Россия
Чердынь,Пермский край,Россия
Чермоз,Пермский край,Россия
Чернушка,Пермский край,Россия
Чусовой,Пермский край,Россия
Арсеньев,Приморский край,Россия
Артем,Приморский край,Россия
Большой Камень,Приморский край,Россия
Владивосток,Приморский край,Россия
Дальнегорск,Приморский край,Россия
Дальнереченск,Приморский край,Россия
Лесозаводск,Приморский край,Россия
Находка,Приморский край,Россия
Партизанск,Приморский край,Россия
Спасск-Дальний,Приморский край,Россия
Уссурийск,Приморский край,Россия
Фокино,Приморский край,Россия
Великие Луки,Псковская область,Россия
Гдов,Псковская область,Россия
Дно,Псковская область,Россия
Невель,Псковская область,Россия
Новоржев,Псковская область,Россия
Новосокольники,Псковская область,Россия
Опочка,Псковская область,Россия
Остров,Псковская область,Россия
Печоры,Псковская область,Россия
Порхов,Псковская область,Россия
Псков,Псковская область,Россия
Пустошка,Псковская область,Россия
Пыталово,Псковская область,Россия
Себеж,Псковская область,Россия
Адыгейск,Республика Адыгея,Россия
Майкоп,Республика Адыгея,Россия
Горно-Алтайск,Республика Алтай,Россия
Агидель,Республика Башкортостан,Россия
Баймак,Республика Башкортостан,Россия
Белебей,Республика Башкортостан,Россия
Белорецк,Республика Башкортостан,Россия
Бирск,Республика Башкортостан,Россия
Благовещенск,Республика Башкортостан,Россия
Давлеканово,Республика Башкортостан,Россия
Дюртюли,Республика Башкортостан,Россия
Ишимбай,Республика Башкортостан,Россия
Кумертау,Республика Башкортостан,Россия
Межгорье,Республика Башкортостан,Россия
Мелеуз,Республика Башкортостан,Россия
Нефтекамск,Республика Башкортостан,Россия
Октябрьский,Республика Башкортостан,Россия
Салават,Республика Башкортостан,Россия
Сибай,Республика Башкортостан,Россия
Стерлитамак,Республика Башкортостан,Россия
Туймазы,Республика Башкортостан,Россия
Уфа,Республика Башкортостан,Россия
Учалы,Республика Башкортостан,Россия
Янаул,Республика Башкортостан,Россия
Бабушкин,Республика Бурятия,Россия
Гусиноозерск,Республика Бурятия,Россия
Закаменск,Республика Бурятия,Россия
Кяхта,Республика Бурятия,Россия
Северобайкальск,Республика Бурятия,Россия
Улан-Удэ,Республика Бурятия,Россия
Буйнакск,Республика Дагестан,Россия
Дагестанские Огни,Республика Дагестан,Россия
Дербент,Республика Дагестан,Россия
Избербаш,Республика Дагестан,Россия
Каспийск,Республика Дагестан,Россия
Кизилюрт,Республика Дагестан,Россия
Кизляр,Республика Дагестан,Россия
Махачкала,Республика Дагестан,Россия
Хасавюрт,Республика Дагестан,Россия
Южно-Сухокумск,Республика Дагестан,Россия
Карабулак,Республика Ингушетия,Россия
Магас,Республика Ингушетия,Россия
Малгобек,Республика Ингушетия,Россия
Назрань,Республика Ингушетия,Россия
Сунжа,Республика Ингушетия,Россия
Городовиковск,Республика Калмыкия,Россия
Лагань,Республика Калмыкия,Россия
Элиста,Республика Калмыкия,Россия
Беломорск,Республика Карелия,Россия
Кемь,Республика Карелия,Россия
Кондопога,Республика Карелия,Россия
Костомукша,Республика Карелия,Россия
Лахденпохья,Республика Карелия,Россия
Медвежьегорск,Республика Карелия,Россия
Олонец,Республика Карелия,Россия
Петрозаводск,Республика Карелия,Россия
Питкяранта,Республика Карелия,Россия
Пудож,Республика Карелия,Россия
Сегежа,Республика Карелия,Россия
Сортавала,Республика Карелия,Россия
Суоярви,Республика Карелия,Россия
Воркута,Республика Коми,Россия
Вуктыл,Республика Коми,Россия
Емва,Республика Коми,Россия
Инта,Республика Коми,Россия
Микунь,Республика Коми,Россия
Печора,Республика Коми,Россия
Сосногорск,Республика Коми,Россия
Сыктывкар,Республика Коми,Россия
Усинск,Республика Коми,Россия
Ухта,Республика Коми,Россия
Алупка,Республика Крым,Россия
Алушта,Республика Крым,Россия
Армянск,Республика Крым,Россия
Бахчисарай,Республика Крым,Россия
Белогорск,Республика Крым,Россия
Джанкой,Республика Крым,Россия
Евпатория,Республика Крым,Россия
Керчь,Республика Крым,Россия
Красноперекопск,Республика Крым,Россия
Саки,Республика Крым,Россия
Симферополь,Республика Крым,Россия
Старый Крым,Республика Крым,Россия
Судак,Республика Крым,Россия
Феодосия,Республика Крым,Россия
Щелкино,Республика Крым,Россия
Ялта,Республика Крым,Россия
Волжск,Республика Марий Эл,Россия
Звенигово,Республика Марий Эл,Россия
Йошкар-Ола,Республика Марий Эл,Россия
Козьмодемьянск,Республика Марий Эл,Россия
Ардатов,Республика Мордовия,Россия
Инсар,Республика Мордовия,Россия
Ковылкино,Республика Мордовия,Россия
Краснослободск,Республика Мордовия,Россия
Рузаевка,Республика Мордовия,Россия
Саранск,Республика Мордовия,Россия
Темников,Республика Мордовия,Россия
Алдан,Республика Саха (Якутия),Россия
Верхоянск,Республика Саха (Якутия),Россия
Вилюйск,Республика Саха (Якутия),Россия
Ленск,Республика Саха (Якутия),Россия
Мирный,Республика Саха (Якутия),Россия
Нерюнгри,Республика Саха (Якутия),Россия
Нюрба,Республика Саха (Якутия),Россия
Олекминск,Республика Саха (Якутия),Россия
Покровск,Республика Саха (Якутия),Россия
Среднеколымск,Республика Саха (Якутия),Россия
Томмот,Республика Саха (Якутия),Россия
Удачный,Республика Саха (Якутия),Россия
Якутск,Республика Саха (Якутия),Россия
Алагир,Республика Северная Осетия – Алания,Россия
Ардон,Республика Северная Осетия – Алания,Россия
Беслан,Республика Северная Осетия – Алания,Россия
Владикавказ,Республика Северная Осетия – Алания,Россия
Дигора,Республика Северная Осетия – Алания,Россия
Моздок,Республика Северная Осетия – Алания,Россия
Агрыз,Республика Татарстан,Россия
Азнакаево,Республика Татарстан,Россия
Альметьевск,Республика Татарстан,Россия
Арск,Республика Татарстан,Россия
Бавлы,Республика Татарстан,Россия
Болгар,Республика Татарстан,Россия
Бугульма,Республика Татарстан,Россия
Буинск,Республика Татарстан,Россия
Елабуга,Республика Татарстан,Россия
Заинск,Республика Татарстан,Россия
Зеленодольск,Республика Татарстан,Россия
Иннополис,Республика Татарстан,Россия
Казань,Республика Татарстан,Россия
Кукмор,Республика Татарстан,Россия
Лаишево,Республика Татарстан,Россия
Лениногорск,Республика Татарстан,Россия
Мамадыш,Республика Татарстан,Россия
Менделеевск,Республика Татарстан,Россия
Мензелинск,Республика Татарстан,Россия
Набережные Челны,Республика Татарстан,Россия
Нижнекамск,Республика Татарстан,Россия
Нурлат,Республика Татарстан,Россия
Тетюши,Республика Татарстан,Россия
Чистополь,Республика Татарстан,Россия
Ак-Довурак,Республика Тыва,Россия
Кызыл,Республика Тыва,Россия
Туран,Республика Тыва,Россия
Чадан,Республика Тыва,Россия
Шагонар,Республика Тыва,Россия
Абаза,Республика Хакасия,Россия
Абакан,Республика Хакасия,Россия
Саяногорск,Республика Хакасия,Россия
Сорск,Республика Хакасия,Россия
Черногорск,Республика Хакасия,Россия
Азов,Ростовская область,Россия
Аксай,Ростовская область,Россия
Батайск,Ростовская область,Россия
Белая Калитва,Ростовская область,Россия
Волгодонск,Ростовская область,Россия
Гуково,Ростовская область,Россия
Донецк,Ростовская область,Россия
Зверево,Ростовская область,Россия
Зерноград,Ростовская область,Россия
Каменск-Шахтинский,Ростовская область,Россия
Константиновск,Ростовская область,Россия
Красный Сулин,Ростовская область,Россия
Миллерово,Ростовская область,Россия
Морозовск,Ростовская область,Россия
Новочеркасск,Ростовская область,Россия
Новошахтинск,Ростовская область,Россия
Пролетарск,Ростовская область,Россия
Ростов-на-Дону,Ростовская область,Россия
Сальск,Ростовская область,Россия
Семикаракорск,Ростовская область,Россия
Таганрог,Ростовская область,Россия
Цимлянск,Ростовская область,Россия
Шахты,Ростовская область,Россия
Касимов,Рязанская область,Россия
Кораблино,Рязанская область,Россия
Михайлов,Рязанская область,Россия
Новомичуринск,Рязанская область,Россия
Рыбное,Рязанская область,Россия
Ряжск,Рязанская область,Россия
Рязань,Рязанская область,Россия
Сасово,Рязанская область,Россия
Скопин,Рязанская область,Россия
Спас-Клепики,Рязанская область,Россия
Спасск-Рязанский,Рязанская область,Россия
Шацк,Рязанская область,Россия
Жигулевск,Самарская область,Россия
Кинель,Самарская область,Россия
Нефтегорск,Самарская область,Россия
Новокуйбышевск,Самарская область,Россия
Октябрьск,Самарская область,Россия
Отрадный,Самарская область,Россия
Похвистнево,Самарская область,Россия
Самара,Самарская область,Россия
Сызрань,Самарская область,Россия
Тольятти,Самарская область,Россия
Чапаевск,Самарская область,Россия
Санкт-Петербург,Санкт-Петербург,Россия
Аркадак,Саратовская область,Россия
Аткарск,Саратовская область,Россия
Балаково,Саратовская область,Россия
Балашов,Саратовская область,Россия
Вольск,Саратовская область,Россия
Ершов,Саратовская область,Россия
Калининск,Саратовская область,Россия
Красноармейск,Саратовская область,Россия
Красный Кут,Саратовская область,Россия
Маркс,Саратовская область,Россия
Новоузенск,Саратовская область,Россия
Петровск,Саратовская область,Россия
Пугачев,Саратовская область,Россия
Ртищево,Саратовская область,Россия
Саратов,Саратовская область,Россия
Хвалынск,Саратовская область,Россия
Шиханы,Саратовская область,Россия
Энгельс,Саратовская область,Россия
Александровск-Сахалинский,Сахалинская область,Россия
Анива,Сахалинская область,Россия
Долинск,Сахалинская область,Россия
Корсаков,Сахалинская область,Россия
Курильск,Сахалинская область,Россия
Макаров,Сахалинская область,Россия
Невельск,Сахалинская область,Россия
Оха,Сахалинская область,Россия
Поронайск,Сахалинская область,Россия
Северо-Курильск,Сахалинская область,Россия
Томари,Сахалинская область,Россия
Углегорск,Сахалинская область,Россия
Холмск,Сахалинская область,Россия
Южно-Сахалинск,Сахалинская область,Россия
Алапаевск,Свердловская область,Россия
Арамиль,Свердловская область,Россия
Артемовский,Свердловская область,Россия
Асбест,Свердловская область,Россия
Березовский,Свердловская область,Россия
Богданович,Свердловская область,Россия
Верхний Тагил,Свердловская область,Россия
Верхняя Пышма,Свердловская область,Россия
Верхняя Салда,Свердловская область,Россия
Верхняя Тура,Свердловская область,Россия
Верхотурье,Свердловская область,Россия
Волчанск,Свердловская область,Россия
Дегтярск,Свердловская область,Россия
Екатеринбург,Свердловская область,Россия
Заречный,Свердловская область,Россия
Ивдель,Свердловская область,Россия
Ирбит,Свердловская область,Россия
Каменск-Уральский,Свердловская область,Россия
Камышлов,Свердловская область,Россия
Карпинск,Свердловская область,Россия
Качканар,Свердловская область,Россия
Кировград,Свердловская область,Россия
Краснотурьинск,Свердловская область,Россия
Красноуральск,Свердловская область,Россия
Красноуфимск,Свердловская область,Россия
Кушва,Свердловская область,Россия
Лесной,Свердловская область,Россия
Михайловск,Свердловская область,Россия
Невьянск,Свердловская область,Россия
Нижние Серги,Свердловская область,Россия
Нижний Тагил,Свердловская область,Россия
Нижняя Салда,Свердловская область,Россия
Нижняя Тура,Свердловская область,Россия
Новая Ляля,Свердловская область,Россия
Новоуральск,Свердловская область,Россия
Первоуральск,Свердловская область,Россия
Полевской,Свердловская область,Россия
Ревда,Свердловская область,Россия
Реж,Свердловская область,Россия
Североуральск,Свердловская область,Россия
Серов,Свердловская область,Россия
Среднеуральск,Свердловская область,Россия
Сухой Лог,Свердловская область,Россия
Сысерть,Свердловская область,Россия
Тавда,Свердловская область,Россия
Талица,Свердловская область,Россия
Туринск,Свердловская область,Россия
Севастополь,Севастополь,Россия
Велиж,Смоленская область,Россия
Вязьма,Смоленская область,Россия
Гагарин,Смоленская область,Россия
Демидов,Смоленская область,Россия
Десногорск,Смоленская область,Россия
Дорогобуж,Смоленская область,Россия
Духовщина,Смоленская область,Россия
Ельня,Смоленская область,Россия
Починок,Смоленская область,Россия
Рославль,Смоленская область,Россия
Рудня,Смоленская область,Россия
Сафоново,Смоленская область,Россия
Смоленск,Смоленская область,Россия
Сычевка,Смоленская область,Россия
Ярцево,Смоленская область,Россия
Благодарный,Ставропольский край,Россия
Буденновск,Ставропольский край,Россия
Георгиевск,Ставропольский край,Россия
Ессентуки,Ставропольский край,Россия
Железноводск,Ставропольский край,Россия
Зеленокумск,Ставропольский край,Россия
Изобильный,Ставропольский край,Россия
Ипатово,Ставропольский край,Россия
Кисловодск,Ставропольский край,Россия
Лермонтов,Ставропольский край,Россия
Минеральные Воды,Ставропольский край,Россия
Михайловск,Ставропольский край,Россия
Невинномысск,Ставропольский край,Россия
Нефтекумск,Ставропольский край,Россия
Новоалександровск,Ставропольский край,Россия
Новопавловск,Ставропольский край,Россия
Пятигорск,Ставропольский край,Россия
Светлоград,Ставропольский край,Россия
Ставрополь,Ставропольский край,Россия
Жердевка,Тамбовская область,Россия
Кирсанов,Тамбовская область,Россия
Котовск,Тамбовская область,Россия
Мичуринск,Тамбовская область,Россия
Моршанск,Тамбовская область,Россия
Рассказово,Тамбовская область,Россия
Тамбов,Тамбовская область,Россия
Уварово,Тамбовская область,Россия
Андреаполь,Тверская область,Россия
Бежецк,Тверская область,Россия
Белый,Тверская область,Россия
Бологое,Тверская область,Россия
Весьегонск,Тверская область,Россия
Вышний Волочек,Тверская область,Россия
Западная Двина,Тверская область,Россия
Зубцов,Тверская область,Россия
Калязин,Тверская область,Россия
Кашин,Тверская область,Россия
Кимры,Тверская область,Россия
Конаково,Тверская область,Россия
Красный Холм,Тверская область,Россия
Кувшиново,Тверская область,Россия
Лихославль,Тверская область,Россия
Нелидово,Тверская область,Россия
Осташков,Тверская область,Россия
Ржев,Тверская область,Россия
Старица,Тверская область,Россия
Тверь,Тверская область,Россия
Торжок,Тверская область,Россия
Торопец,Тверская область,Россия
Удомля,Тверская область,Россия
Асино,Томская область,Россия
Кедровый,Томская область,Россия
Колпашево,Томская область,Россия
Северск,Томская область,Россия
Стрежевой,Томская область,Россия
Томск,Томская область,Россия
Алексин,Тульская область,Россия
Белев,Тульская область,Россия
Богородицк,Тульская область,Россия
Болохово,Тульская область,Россия
Венев,Тульская область,Россия
Донской,Тульская область,Россия
Ефремов,Тульская область,Россия
Кимовск,Тульская область,Россия
Киреевск,Тульская область,Россия
Липки,Тульская область,Россия
Новомосковск,Тульская область,Россия
Плавск,Тульская область,Россия
Советск,Тульская область,Россия
Суворов,Тульская область,Россия
Тула,Тульская область,Россия
Узловая,Тульская область,Россия
Чекалин,Тульская область,Россия
Щекино,Тульская область,Россия
Ясногорск,Тульская область,Россия
Белоярский,Тюменская область,Россия
Губкинский,Тюменская область,Россия
Заводоуковск,Тюменская область,Россия
Ишим,Тюменская область,Россия
Когалым,Тюменская область,Россия
Лабытнанги,Тюменская область,Россия
Лангепас,Тюменская область,Россия
Лянтор,Тюменская область,Россия
Мегион,Тюменская область,Россия
Муравленко,Тюменская область,Россия
Надым,Тюменская область,Россия
Нефтеюганск,Тюменская область,Россия
Нижневартовск,Тюменская область,Россия
Новый Уренгой,Тюменская область,Россия
Ноябрьск,Тюменская область,Россия
Нягань,Тюменская область,Россия
Покачи,Тюменская область,Россия
Пыть-Ях,Тюменская область,Россия
Радужный,Тюменская область,Россия
Салехард,Тюменская область,Россия
Советский,Тюменская область,Россия
Сургут,Тюменская область,Россия
Тарко-Сале,Тюменская область,Россия
Тобольск,Тюменская область,Россия
Тюмень,Тюменская область,Россия
Урай,Тюменская область,Россия
Ханты-Мансийск,Тюменская область,Россия
Югорск,Тюменская область,Россия
Ялуторовск,Тюменская область,Россия
Воткинск,Удмуртская Республика,Россия
Глазов,Удмуртская Республика,Россия
Ижевск,Удмуртская Республика,Россия
Камбарка,Удмуртская Республика,Россия
Можга,Удмуртская Республика,Россия
Сарапул,Удмуртская Республика,Россия
Барыш,Ульяновская область,Россия
Димитровград,Ульяновская область,Россия
Инза,Ульяновская область,Россия
Новоульяновск,Ульяновская область,Россия
Сенгилей,Ульяновская область,Россия
Ульяновск,Ульяновская область,Россия
Амурск,Хабаровский край,Россия
Бикин,Хабаровский край,Россия
Вяземский,Хабаровский край,Россия
Комсомольск-на-Амуре,Хабаровский край,Россия
Николаевск-на-Амуре,Хабаровский край,Россия
Советская Гавань,Хабаровский край,Россия
Хабаровск,Хабаровский край,Россия
Аша,Челябинская область,Россия
Бакал,Челябинская область,Россия
Верхнеуральск,Челябинская область,Россия
Верхний Уфалей,Челябинская область,Россия
Еманжелинск,Челябинская область,Россия
Златоуст,Челябинская область,Россия
Карабаш,Челябинская область,Россия
Карталы,Челябинская область,Россия
Касли,Челябинская область,Россия
Катав-Ивановск,Челябинская область,Россия
Копейск,Челябинская область,Россия
Коркино,Челябинская область,Россия
Куса,Челябинская область,Россия
Кыштым,Челябинская область,Россия
Магнитогорск,Челябинская область,Россия
Миасс,Челябинская область,Россия
Миньяр,Челябинская область,Россия
Нязепетровск,Челябинская область,Россия
Озерск,Челябинская область,Россия
Пласт,Челябинская область,Россия
Сатка,Челябинская область,Россия
Сим,Челябинская область,Россия
Снежинск,Челябинская область,Россия
Трехгорный,Челябинская область,Россия
Троицк,Челябинская область,Россия
Усть-Катав,Челябинская область,Россия
Чебаркуль,Челябинская область,Россия
Челябинск,Челябинская область,Россия
Южноуральск,Челябинская область,Россия
Юрюзань,Челябинская область,Россия
Аргун,Чеченская Республика,Россия
Грозный,Чеченская Республика,Россия
Гудермес,Чеченская Республика,Россия
Курчалой,Чеченская Республика,Россия
Урус-Мартан,Чеченская Республика,Россия
Шали,Чеченская Республика,Россия
Алатырь,Чувашская Республика,Россия
Канаш,Чувашская Республика,Россия
Козловка,Чувашская Республика,Россия
Мариинский Посад,Чувашская Республика,Россия
Новочебоксарск,Чувашская Республика,Россия
Цивильск,Чувашская Республика,Россия
Чебоксары,Чувашская Республика,Россия
Шумерля,Чувашская Республика,Россия
Ядрин,Чувашская Республика,Россия
Анадырь,Чукотский автономный округ,Россия
Билибино,Чукотский автономный округ,Россия
Певек,Чукотский автономный округ,Россия
Гаврилов-Ям,Ярославская область,Россия
Данилов,Ярославская область,Россия
Любим,Ярославская область,Россия
Мышкин,Ярославская область,Россия
Переславль-Залесский,Ярославская область,Россия
Пошехонье,Ярославская область,Россия
Ростов,Ярославская область,Россия
Рыбинск,Ярославская область,Россия
Тутаев,Ярославская область,Россия
Углич,Ярославская область,Россия
Ярославль,Ярославская область,Россия
